Model,Baseline_Accuracy,Baseline_F1,GridSearch_CV_Score,GridSearch_Accuracy,GridSearch_F1,GridSearch_Time,RandomSearch_CV_Score,RandomSearch_Accuracy,RandomSearch_F1,RandomSearch_Time
Logistic Regression,0.6166666666666667,0.568523592085236,0.8311170212765957,0.8833333333333333,0.881841432225064,4.108215808868408,0.8183510638297872,0.85,0.849112925936356,0.24775934219360352
Decision Tree,0.55,0.5323076923076923,0.776241134751773,0.7666666666666667,0.7626666666666667,0.4384043216705322,0.7803191489361703,0.8166666666666667,0.8126089872568746,0.21740078926086426
Random Forest,0.5333333333333333,0.4376068376068376,0.8354609929078014,0.8166666666666667,0.8143222506393861,18.428451538085938,0.8352836879432625,0.8333333333333334,0.8304761904761905,10.97366452217102
SVM,0.0,0.0,0.822695035460993,0.8666666666666667,0.8654600301659126,0.8998239040374756,0.8016843971631206,0.8333333333333334,0.8287037037037037,3.7819085121154785
