Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,CV_Mean,CV_Std,Training_Time
Support Vector Machine,0.8666666666666667,0.880542264752791,0.8666666666666667,0.8643809523809522,0.9553571428571429,0.7892730496453901,0.07096386175063793,0.006064414978027344
Logistic Regression,0.85,0.8525714285714286,0.85,0.849112925936356,0.9508928571428572,0.8183510638297872,0.07209055022831853,0.001611471176147461
Random Forest,0.8166666666666667,0.8238151194672932,0.8166666666666667,0.8143222506393861,0.9497767857142857,0.8059397163120566,0.07019597370655555,0.09430098533630371
Decision Tree,0.7666666666666667,0.7748006379585327,0.7666666666666667,0.7626666666666667,0.8571428571428572,0.7636524822695036,0.10795288153429608,0.0012335777282714844
